# Stage 1 -- the sentence and nothing else.  60 rows, seed 88.

S01  When an event is created the attribute must be initialized to the empty string.

S02  Unless otherwise stated, a collection must be live.

S03  The comparisons for the classes must be done in an ASCII case-insensitive manner if root’s node document’s mode is "quirks"; otherwise in an identical to manner.

S04  To incrementally read a body body, given an algorithm processBodyChunk, an algorithm processEndOfBody, an algorithm processBodyError, and an optional null, parallel queue, or global object taskDestination (default null), run these steps. processBodyChunk must be an algorithm accepting a byte sequence. processEndOfBody must be an algorithm accepting no arguments. processBodyError must be an algorithm accepting an exception.

S05  The `Sec-Purpose` header field is a structured header whose value must be a token.

S06  Each part whose `Content-Disposition` header contains a `filename` parameter must be parsed into an entry whose value is a File object whose contents are the contents of the part.

S07  The value must be a valid media query list.

S08  The value must be a string that matches the syntax for the CSS 'color-scheme' property value.

S09  Phrasing content, but there must be no dfn element descendants.

S10  The distinction should be made clear to the user.

S11  If present, it must be the first entry and the entire <source-size-list> value must either be the string "auto" (ASCII case-insensitive) or start with the string "auto," (ASCII case-insensitive).

S12  While a user agent is running the above algorithm for an element x, there must be a strong reference from the element's node document to the element x, even if that element is not connected.

S13  In such cases, the alt attribute must be present but must consist of the same text as written in the image itself.

S14  The value of this attribute must be the empty string.

S15  Similarly, the allow-top-navigation-to-custom-protocols keyword must not be specified if either allow-top-navigation or allow-popups are specified, as doing so is redundant.

S16  Whenever an embed element that was potentially active stops being potentially active, any plugin that had been instantiated for that element must be unloaded.

S17  The name attribute, if present, must be a valid navigable target name.

S18  Frames of video must be obtained from the video track that was selected when the event loop last reached step 1.

S19  (Whether the media resource can specify a timeline or not depends on the media resource's format.) If the media resource specifies an explicit start time and date, then that time and date should be considered the zero point in the media timeline; the timeline offset will be the time and date, exposed using the getStartDate() method.

S20  Whenever a text track cue is added to the list of cues of a text track that is in the list of text tracks for a media element, that cue must be added to the media element's list of newly introduced cues.

S21  When a track element is created, it must be associated with a new text track (with its value set as defined below).

S22  If the area element has no href attribute, then the area represented by the element cannot be selected, and the alt attribute must be omitted.

S23  In the rectangle state, area elements must have a coords attribute with exactly four integers, the first of which must be less than the third, and the second of which must be less than the fourth.

S24  The value must not be the empty string, and the value must be unique amongst the form elements in the forms collection that it is in, if any.

S25  When an input element is first created, the element's rendering and behavior must be set to the rendering and behavior defined for the type attribute's state, and the value sanitization algorithm, if one is defined for the type attribute's state, must be invoked.

S26  The following content attributes must not be specified and do not apply to the element: accept, alpha, alt, checked, colorspace, dirname, formaction, formenctype, formmethod, formnovalidate, formtarget, height, maxlength, minlength, multiple, pattern, popovertarget, popovertargetaction, size, src, and width.

